ACCELERATION,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17,TRACK_EDGE_18
1,0,0.0203824081,0.64,-0.333357,-0.000348266,7.3335,7.59021,9.55424,12.7128,20.9531,27.0145,38.0565,65.2076,153.971,200,200,58.4891,22.4025,14.4686,10.8378,6.41131,4.79174,3.79651,3.6665
1,0,0.0203824081,0.64,-0.333357,-0.000348266,7.3335,7.59021,9.55424,12.7128,20.9531,27.0145,38.0565,65.2076,153.971,200,200,58.4891,22.4025,14.4686,10.8378,6.41131,4.79174,3.79651,3.6665
1,0,0.0203824081,0.64,-0.333357,-0.000348266,7.3335,7.59021,9.55424,12.7128,20.9531,27.0145,38.0565,65.2076,153.971,200,200,58.4891,22.4025,14.4686,10.8378,6.41131,4.79174,3.79651,3.6665
1,0,0.0203824081,0.64,-0.333357,-0.000348266,7.3335,7.59021,9.55424,12.7128,20.9531,27.0145,38.0565,65.2076,153.971,200,200,58.4891,22.4025,14.4686,10.8378,6.41131,4.79174,3.79651,3.6665
1,0,0.0203824081,0.64,-0.333357,-0.000348266,7.3335,7.59021,9.55424,12.7128,20.9531,27.0145,38.0565,65.2076,153.971,200,200,58.4891,22.4025,14.4686,10.8378,6.41131,4.79174,3.79651,3.6665
1,0,0.020244211,0.64,-0.333357,-0.000664409,7.3335,7.58951,9.55157,12.7072,20.9357,26.9859,37.9991,65.0387,153.022,200,200,58.8352,22.4501,14.4869,10.8475,6.41424,4.7929,3.79688,3.6665
0.66375375,0,0.0202948097,0.64,-0.333357,-0.000550445,7.3335,7.58977,9.55247,12.7092,20.9418,26.9957,38.0207,65.1012,153.365,200,200,58.7084,22.4335,14.4793,10.8435,6.41336,4.79251,3.79675,3.6665
1,0,0.0202877522,0.64,-0.3334,-0.000574287,7.33374,7.59005,9.55271,12.7092,20.9412,26.9946,38.0164,65.089,153.303,200,200,58.7296,22.4355,14.4804,10.8434,6.41311,4.79238,3.79651,3.66626
1,0,0.0203032028,0.64,-0.333457,-0.00054663,7.33398,7.59036,9.55316,12.7101,20.9435,26.9971,38.0229,65.107,153.407,200,200,58.6953,22.4301,14.4779,10.8424,6.41226,4.79168,3.79626,3.66602
1,0,0.0202718228,0.64,-0.333443,-0.000617679,7.33398,7.59021,9.55264,12.709,20.939,26.9895,38.0098,65.0714,153.214,200,200,58.7704,22.4433,14.4814,10.8444,6.41292,4.79203,3.79626,3.66602
1,0,0.0202445798,0.64,-0.333343,-0.000654872,7.33337,7.58963,9.5516,12.7071,20.9351,26.9836,37.998,65.0466,153.121,200,200,58.8228,22.4532,14.4873,10.8472,6.41431,4.79303,3.797,3.66663
1,0,0.0201882813,0.64,-0.3333,-0.000766929,7.33313,7.58898,9.55019,12.7043,20.9276,26.9707,37.9749,64.9863,152.815,200,200,58.9522,22.4749,14.4951,10.8521,6.41595,4.79394,3.79724,3.66687
1,0,0.020149475,0.64,-0.333271,-0.000850376,7.33301,7.58858,9.54957,12.703,20.9219,26.9605,37.9587,64.9434,152.604,200,200,59.0412,22.4905,14.5001,10.8551,6.41687,4.79441,3.79749,3.66699
1,0,0.0200943202,0.64,-0.333286,-0.000978168,7.33313,7.58857,9.54871,12.7008,20.9146,26.9484,37.9352,64.8775,152.278,200,200,59.1759,22.512,14.5075,10.8584,6.41776,4.79459,3.79761,3.66687
1,0,0.0200200249,0.64,-0.333314,-0.00114268,7.33337,7.58831,9.54737,12.6979,20.9047,26.9315,37.9037,64.7949,151.845,200,200,59.3559,22.5401,14.5177,10.8639,6.41929,4.79536,3.79749,3.66687
1,0,0.0199533813,0.64,-0.3333,-0.00128573,7.33313,7.58797,9.54601,12.6948,20.8966,26.9153,37.8753,64.7197,151.485,200,200,59.5176,22.5657,14.5258,10.8682,6.42076,4.79596,3.79785,3.66687
1,0,0.0198734738,0.64,-0.333171,-0.00143545,7.3324,7.58689,9.54405,12.6909,20.8854,26.8975,37.8434,64.6389,151.098,200,200,59.6956,22.5984,14.5388,10.8752,6.42339,4.79749,3.79871,3.6676
1,0,0.0197579451,0.64,-0.333057,-0.00166529,7.33179,7.5858,9.5414,12.6859,20.8697,26.8706,37.7956,64.5161,150.493,200,200,59.9639,22.6432,14.5552,10.8846,6.42691,4.79923,3.79968,3.66821
1,0,0.0196575988,0.64,-0.332985,-0.0018751,7.33142,7.58503,9.53917,12.6813,20.8563,26.8479,37.7545,64.4052,149.956,200,200,60.2007,22.6826,14.5693,10.8922,6.42936,4.80049,3.80017,3.66858
1,0,0.0195589345,0.64,-0.332942,-0.00207728,7.33118,7.58429,9.53709,12.6769,20.8432,26.8253,37.7127,64.3023,149.45,200,200,60.4362,22.7222,14.5824,10.8996,6.43183,4.80183,3.80066,3.66882
