,STEERING,ACCELERATION,BRAKE,SPEED,DISTANCE_FROM_CENTER,ANGLE,EDGE1,EDGE2,EDGE3,EDGE4,EDGE5,EDGE6,EDGE7,EDGE8,EDGE9,EDGE10,EDGE11,EDGE12,EDGE13,EDGE14,EDGE15,EDGE16,EDGE17,EDGE18,EDGE19
2279,4.026530136,0.4,0,10.12075,-1.08223,75.0729410226,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2280,4.016215096,0.4,0,10.1001666667,-1.12024,73.4824101833,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2281,3.986854136,0.4,0,10.1272222222,-1.15776,71.8374483535,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2282,3.964473576,0.4,0,10.1444444444,-1.19486,70.3723952714,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2283,3.940063656,0.4,0,10.1582777778,-1.23152,69.0929805148,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2284,3.919638776,0.4,0,10.1321666667,-1.26778,67.7562699788,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2285,3.896185216,0.4,0,10.1909166667,-1.30361,66.362836621,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2286,3.903826496,0.4,0,10.19275,-1.33932,65.0221153804,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2287,3.851319736,0.4,0,10.1935555556,-1.37431,63.6097744154,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2288,3.826775176,0.4,0,10.2298611111,-1.40886,62.2896796554,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2289,3.778094096,0.4,0,10.1998055556,-1.44273,60.9535420772,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2290,3.724253576,0.4,0,10.2289444444,-1.47587,59.6002157651,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2291,3.704388056,0.4,0,10.1913333333,-1.50862,58.1494866278,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2292,3.649354576,0.4,0,10.2445,-1.54063,56.5546586051,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2293,3.624271376,0.4,0,10.24125,-1.5722,54.9803424714,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2294,3.562991256,0.4,0,10.2491666667,-1.60297,53.3675808697,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2295,3.516571616,0.4,0,10.2782777778,-1.63309,51.7795137489,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2296,3.450933096,0.4,0,10.284,-1.66237,50.3733034323,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2297,3.400132936,0.4,0,10.2960277778,-1.69096,48.9039531667,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2298,3.327079496,0.4,0,10.3195277778,-1.71864,47.4872004267,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2299,3.294934776,0.4,0,10.3036111111,-1.74582,46.1799399213,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2300,3.225547296,0.4,0,10.3401388889,-1.77213,44.664523849,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2301,3.180010536,0.4,0,10.3896666667,-1.79781,43.3865987827,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2302,3.130305816,0.4,0,10.363,-1.82282,41.9378749977,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2303,3.049305216,0.4,0,10.4006666667,-1.84685,40.5126424823,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2304,3.002142176,0.4,0,10.3786111111,-1.87024,39.1231625334,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2305,2.909632336,0.4,0,10.4026666667,-1.89254,37.5659778378,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
