,STEERING,ACCELERATION,BRAKE,SPEED,DISTANCE_FROM_CENTER,ANGLE,EDGE1,EDGE2,EDGE3,EDGE4,EDGE5,EDGE6,EDGE7,EDGE8,EDGE9,EDGE10,EDGE11,EDGE12,EDGE13,EDGE14,EDGE15,EDGE16,EDGE17,EDGE18,EDGE19
678,-0.0070430489,0.1809240114,0,22.1249166667,0.0514915,0.5360283734,5.21703,5.41464,6.05682,7.44767,10.6059,15.656,20.8863,31.7271,67.0262,200,59.9472,31.6275,21.5917,16.4859,11.3825,8.10323,6.64228,5.9725,5.78346
679,0.0153096563,0.1810226614,0,22.1248888889,0.0506037,0.5490454016,5.22192,5.42005,6.0633,7.45636,10.6201,15.6807,20.9243,31.8001,67.2847,200,59.7565,31.5622,21.5558,16.462,11.3685,8.09458,6.63582,5.96711,5.77859
680,-0.0001368689,0.1813188264,0,22.1248055556,0.0498713,0.5455131167,5.22594,5.42413,6.06776,7.46165,10.6271,15.6901,20.9354,31.8128,67.2834,200,59.7527,31.5507,21.5456,16.4533,11.3617,8.08943,6.63143,5.96305,5.77455
681,-0.0067173305,0.1810226614,0,22.1248888889,0.0492054,0.5321047584,5.2296,5.42758,6.07117,7.4651,10.6302,15.6907,20.9311,31.7905,67.1289,200,59.8591,31.5703,21.55,16.4531,11.359,8.08616,6.6281,5.95962,5.77088
682,-0.0066551689,0.1810226614,0,22.1248888889,0.0485396,0.5325768756,5.23326,5.4314,6.07545,7.47039,10.6378,15.702,20.9464,31.8143,67.183,200,59.8161,31.5489,21.5357,16.4423,11.3517,8.08096,6.62386,5.95583,5.76722
683,0.0090224375,0.1810226614,0,22.1248888889,0.0477184,0.544708684,5.23779,5.4364,6.08145,7.47845,10.651,15.725,20.9817,31.8822,67.4237,200,59.6389,31.4883,21.5025,16.4201,11.3387,8.07295,6.61788,5.95084,5.76271
684,0.0002474535,0.1811213472,0,22.1248611111,0.046986,0.5466263737,5.24182,5.44064,6.08625,7.48445,10.6598,15.7386,21.0006,31.9132,67.5045,200,59.5766,31.4607,21.4848,16.4072,11.3301,8.06705,6.61313,5.94663,5.75869
685,-0.0063214669,0.1810226614,0,22.1248888889,0.0463201,0.540242478,5.24547,5.44427,6.0901,7.48883,10.6651,15.7446,21.0062,31.9141,67.4552,200,59.6072,31.4595,21.4798,16.4016,11.3251,8.0628,6.60934,5.94302,5.75502
686,-0.0017898265,0.1811213472,0,22.1248611111,0.0456099,0.5433393149,5.24938,5.4484,6.09483,7.49482,10.6741,15.7588,21.0262,31.9482,67.5522,200,59.5334,31.429,21.461,16.3881,11.3163,8.0569,6.60465,5.9389,5.75111
687,0.0161464051,0.1811213472,0,22.1248611111,0.0447221,0.5515154226,5.25427,5.45369,6.10102,7.50288,10.6867,15.7798,21.0574,32.0054,67.7391,200,59.3956,31.3783,21.4318,16.368,11.304,8.04893,6.59851,5.93364,5.74624
688,-0.0037345313,0.1814176198,0,22.1247777778,0.0440341,0.5407501186,5.25805,5.45733,6.10473,7.50685,10.6909,15.7828,21.0572,31.9923,67.6246,200,59.4715,31.3893,21.4322,16.3654,11.3002,8.04511,6.59487,5.93002,5.74244
689,-0.0058616845,0.1812200689,0,22.1248333333,0.0433683,0.5268335467,5.2617,5.46076,6.10811,7.51022,10.6937,15.7829,21.0521,31.968,67.4616,200,59.5827,31.4102,21.4372,16.3656,11.2976,8.0419,6.59157,5.92661,5.73877
690,-0.0057561341,0.1811213472,0,22.1248611111,0.0427024,0.5290239644,5.26536,5.46462,6.1125,7.51574,10.7019,15.7956,21.0699,31.9976,67.5415,200,59.5212,31.3837,21.4206,16.3535,11.2897,8.03646,6.58722,5.92277,5.73511
691,0.0054768835,0.1811213472,0,22.1248611111,0.0419256,0.5403805608,5.26964,5.46936,6.11818,7.52336,10.7143,15.8173,21.1032,32.0616,67.7681,200,59.3553,31.327,21.3894,16.3326,11.2775,8.02891,6.58157,5.91805,5.73085
692,0.0011650707,0.1812200689,0,22.1248333333,0.0411932,0.5447505099,5.27368,5.47366,6.12313,7.5297,10.724,15.8328,21.1255,32.1008,67.8863,200,59.267,31.2921,21.3685,16.3178,11.2681,8.02267,6.57666,5.91378,5.72682
693,-0.0053806785,0.1811213472,0,22.1248611111,0.0405273,0.5413603186,5.27734,5.47737,6.12717,7.53447,10.7303,15.8411,21.1354,32.1117,67.8819,200,59.2652,31.282,21.3594,16.31,11.262,8.018,6.57268,5.91008,5.72316
694,-0.0030548357,0.1812200689,0,22.1248333333,0.0398393,0.5442153673,5.28112,5.48137,6.13174,7.54026,10.7389,15.8547,21.1546,32.1444,67.974,200,59.1956,31.253,21.3414,16.297,11.2536,8.01231,6.56814,5.9061,5.71937
695,0.0171244783,0.1811213472,0,22.1248611111,0.0389515,0.5528051506,5.28601,5.48667,6.13795,7.54838,10.7517,15.8761,21.1865,32.2031,68.168,200,59.0538,31.2012,21.3117,16.2766,11.2411,8.00429,6.56198,5.90083,5.7145
696,-0.0027333757,0.1816153142,0,22.1247222222,0.0382635,0.5422558517,5.28979,5.49031,6.14168,7.55237,10.7559,15.8792,21.1865,32.1905,68.0557,200,59.1267,31.2114,21.3117,16.2738,11.2372,8.00044,6.55832,5.8972,5.7107
697,-0.0048374465,0.1814176198,0,22.1247777778,0.0375977,0.5266748374,5.29344,5.4937,6.14495,7.5555,10.7582,15.878,21.1788,32.1603,67.8661,200,59.2549,31.237,21.3189,16.2752,11.2352,7.99744,6.55512,5.89383,5.70703
698,-0.0047088137,0.1812200689,0,22.1248333333,0.0369318,0.5262800695,5.2971,5.49749,6.14917,7.56068,10.7655,15.8887,21.1929,32.1812,67.9071,200,59.221,31.2181,21.3057,16.265,11.2281,7.99236,6.55094,5.89006,5.70337
