,STEERING,ACCELERATION,SPEED,DISTANCE_FROM_CENTER,ANGLE,EDGE1,EDGE2,EDGE3,EDGE4,EDGE5,EDGE6,EDGE7,EDGE8,EDGE9,EDGE10,EDGE11,EDGE12,EDGE13,EDGE14,EDGE15,EDGE16,EDGE17,EDGE18,EDGE19
4330,-0.0059183261,0.1742995698,23.5191666667,0.0211449,-0.0803435798,5.38367,5.57055,6.20695,7.5866,10.672,15.4303,20.119,29.211,54.0486,200,75.7551,34.5812,22.5151,16.7863,11.3395,7.97234,6.49556,5.81761,5.61633
4331,-0.0075358299,0.174395797,23.5191388889,0.0213178,-0.109487651,5.38281,5.56897,6.20422,7.58128,10.6609,15.4067,20.0849,29.1574,53.9288,200,75.948,34.647,22.554,16.8134,11.3517,7.97775,6.49841,5.81921,5.61719
4332,0.0063901227,0.1745883577,23.5190833333,0.0213364,-0.1212768306,5.38269,5.5686,6.20337,7.57989,10.6571,15.3982,20.0765,29.1558,53.9797,200,75.8111,34.6414,22.561,16.8227,11.3561,7.97967,6.49916,5.81982,5.61743
4333,0.0012025593,0.1748774644,23.519,0.0214107,-0.1405923838,5.3822,5.56763,6.20161,7.57652,10.6498,15.3831,20.0581,29.1339,53.959,200,75.8154,34.665,22.581,16.8393,11.3639,7.98303,6.50124,5.8208,5.6178
4334,-0.0023094252,0.17478106,23.5190277778,0.0215221,-0.1700578843,5.38159,5.56616,6.19915,7.5718,10.6395,15.361,20.0274,29.0848,53.8446,200,76.0025,34.7259,22.6155,16.8636,11.3754,7.98815,6.50376,5.82227,5.61841
4335,-0.00669525,0.1749739041,23.5189722222,0.02168,-0.1950904104,5.38074,5.5647,6.19637,7.56744,10.6298,15.3414,20.0026,29.0477,53.7719,200,76.1062,34.7704,22.6439,16.8841,11.3866,7.99289,6.5066,5.82385,5.61926
4336,-0.0085437963,0.1751668901,23.5189166667,0.0218564,-0.2095157688,5.37976,5.56318,6.19451,7.56407,10.623,15.33,19.9902,29.0378,53.7973,200,76.0193,34.7754,22.6558,16.8956,11.3938,7.9965,6.50859,5.82544,5.62024
4337,-0.011258947,0.1754566349,23.5188333333,0.0220607,-0.2122757065,5.37866,5.56208,6.19315,7.56224,10.6203,15.3276,19.9934,29.0612,53.9333,200,75.7195,34.734,22.6474,16.8969,11.3968,7.99812,6.50996,5.82651,5.62134
4338,-0.0166891588,0.1757466991,23.51875,0.0223225,-0.204707507,5.37723,5.56079,6.19177,7.56115,10.6193,15.3315,20.0088,29.1113,54.1656,200,75.2414,34.6562,22.6245,16.8898,11.397,7.99934,6.51123,5.82776,5.6228
4339,-0.0177333338,0.1762308495,23.5186111111,0.0225935,-0.1834519187,5.37573,5.55981,6.19153,7.56171,10.6236,15.3456,20.0414,29.1993,54.531,200,74.5279,34.5273,22.5802,16.8709,11.3927,7.99843,6.5116,5.82874,5.62427
