TARGET_SPEED,BRAKE,STEERING,SPEED,TRACK_POSITION,ANGLE_TO_TRACK_AXIS,TRACK_EDGE_0,TRACK_EDGE_1,TRACK_EDGE_2,TRACK_EDGE_3,TRACK_EDGE_4,TRACK_EDGE_5,TRACK_EDGE_6,TRACK_EDGE_7,TRACK_EDGE_8,TRACK_EDGE_9,TRACK_EDGE_10,TRACK_EDGE_11,TRACK_EDGE_12,TRACK_EDGE_13,TRACK_EDGE_14,TRACK_EDGE_15,TRACK_EDGE_16,TRACK_EDGE_17,TRACK_EDGE_18
194.22441671002272,0.0,0.12686368823051453,73.1428,-0.224805,0.133798,6.17925,6.63659,9.0935,13.337,28.6693,47.9743,71.9542,78.3885,33.3899,29.0555,25.7241,17.6769,12.7722,10.0581,8.34769,5.71911,4.58725,3.90795,3.91093
197.83653194358237,0.0,0.1253468245267868,73.7263,-0.235425,0.126283,6.22671,6.67338,9.09756,13.2602,27.9578,45.722,70.8619,77.603,35.1966,30.3529,26.6882,18.0384,12.9021,10.1024,8.3533,5.68729,4.54616,3.85825,3.85356
201.18008980509313,0.0,0.12408851087093353,74.3074,-0.2456,0.119828,6.27298,6.71077,9.1091,13.2078,27.4077,44.0157,69.8498,76.8586,36.9095,31.5539,27.5629,18.3448,13.0012,10.1281,8.34699,5.65191,4.50447,3.81034,3.79925
204.1983623268657,0.0,0.12291064113378525,74.8891,-0.255316,0.1138,6.31744,6.74692,9.12163,13.1626,26.9263,42.5646,68.8564,76.1243,38.7061,32.7898,28.4499,18.6438,13.0943,10.1503,8.33887,5.61699,4.4641,3.76457,3.74766
207.76452145980977,0.0,0.1216917559504509,75.4724,-0.264539,0.107783,6.3596,6.78053,9.13088,13.1141,26.4605,41.2149,67.8332,75.3772,40.7652,34.1838,29.4398,18.9733,13.2001,10.1801,8.33625,5.58549,4.42651,3.72136,3.69877
211.38136355294702,0.0,0.1203613132238388,76.0589,-0.273261,0.101582,6.39929,6.81106,9.13502,13.0577,25.9886,39.906,66.7501,74.6048,43.243,35.8326,30.5984,19.3562,13.3288,10.2232,8.3428,5.55877,4.39235,3.68084,3.65253
215.83230865211658,0.0,0.11885914951562881,76.5959,-0.28147,0.0950813,6.43642,6.83822,9.13301,12.9909,25.5006,38.6109,65.58,73.7982,46.3269,37.842,31.9923,19.8118,13.488,10.2837,8.36107,5.53777,4.36208,3.64316,3.60895
221.36473967022934,0.0,0.1169467568397522,77.0535,-0.289246,0.0876388,6.47106,6.86086,9.11974,12.9008,24.941,37.2009,64.2029,72.9128,50.6756,40.6021,33.8781,20.4222,13.7117,10.3799,8.40223,5.52624,4.33722,3.60836,3.56746
228.33227713793175,0.0,0.1327519416809082,77.6642,-0.296631,0.0791963,6.50354,6.87925,9.09546,12.788,24.3174,35.7022,62.5345,71.9361,56.9956,44.4531,36.4443,21.2248,14.0105,10.5161,8.4684,5.52455,4.31782,3.5763,3.5279
239.30847857574614,0.0,0.04601143300533295,78.3179,-0.303546,0.0700755,6.53377,6.89391,9.06301,12.6604,23.6677,34.2046,60.4708,70.8799,75.0422,49.7338,39.8351,22.2234,14.3791,10.6878,8.55644,5.53159,4.3035,3.54727,3.49084
245.51022572096127,0.0,0.037017516791820526,78.9843,-0.310016,0.0617679,6.56259,6.90859,9.03577,12.55,23.1156,32.9646,58.0362,69.8525,74.2147,55.8885,43.5935,23.2344,14.7365,10.8505,8.63832,5.53717,4.28955,3.52011,3.45651
151.0856602116105,0.0,0.1367998570203781,79.628,-0.316138,0.0556383,6.59089,6.92676,9.0256,12.4838,22.7521,32.1474,55.4795,68.9733,73.4767,74.3124,46.8229,24.0088,14.9875,10.9547,8.68404,5.5307,4.27091,3.49329,3.42461
152.31705276695908,0.0,0.13406160473823547,80.2364,-0.321668,0.0501178,6.61665,6.94338,9.01693,12.4259,22.438,31.4527,53.2525,68.1273,72.7568,73.6177,50.2322,24.7653,15.2252,11.0519,8.72641,5.52484,4.25402,3.4691,3.39593
153.77643128308574,0.0,0.1308417171239853,80.8361,-0.326404,0.043868,6.63841,6.95438,8.99722,12.3478,22.0713,30.6739,50.9007,67.2016,71.9854,72.8759,54.9579,25.7572,15.5444,11.1919,8.79597,5.53082,4.24448,3.44957,3.37122
147.75041993536615,0.0,0.12720927596092224,81.4382,-0.330396,0.0371685,6.65658,6.96075,8.96941,12.2563,21.6772,29.8634,48.5784,66.2138,71.1739,72.0972,72.9224,26.9754,15.9336,11.3672,8.8877,5.54657,4.24122,3.4343,3.35034
149.44015455530632,0.0,0.1232064962387085,82.0432,-0.333685,0.0302179,6.67147,6.96321,8.93563,12.1561,21.2727,29.0542,46.3682,65.1766,70.3313,71.2895,72.1474,28.4229,16.3856,11.5726,8.99804,5.5706,4.24342,3.42295,3.33309
151.16667213363326,0.0,0.11884943395853043,82.6512,-0.336292,0.0231485,6.68325,6.9622,8.89721,12.0503,20.8679,28.2643,44.3047,64.0976,69.4636,70.4582,71.3499,30.1164,16.8972,11.8052,9.12492,5.60202,4.25063,3.41534,3.31943
152.94092371965561,0.0,0.11414320021867752,83.2616,-0.338257,0.0160522,6.69215,6.95815,8.85526,11.9412,20.4694,27.5043,42.3987,62.9823,68.5756,69.6078,70.5341,32.0814,17.4664,12.0628,9.26656,5.64001,4.26236,3.4112,3.30914
154.77189657575283,0.0,0.1090778112411499,83.8742,-0.339569,0.00899545,6.69812,6.95116,8.81027,11.8298,20.0803,26.7786,40.6466,61.8334,67.671,68.7415,69.7029,34.3569,18.094,12.3446,9.42237,5.68433,4.27853,3.41056,3.30229
156.66289598481782,0.0,0.10308030992746353,84.5506,-0.340308,0.00134044,6.70155,6.94044,8.7581,11.7062,19.6664,26.023,38.8883,60.5332,66.6606,67.774,68.7743,37.2745,18.8518,12.6808,9.60868,5.73971,4.301,3.4136,3.29846
158.39742411439852,0.0,0.09697461873292923,85.238,-0.340393,-0.00562075,6.70207,6.92806,8.70786,11.5917,19.2975,25.3628,37.4034,59.2633,65.6755,66.8285,67.8644,40.4394,19.6183,13.0159,9.79421,5.79657,4.32575,3.41958,3.29809
159.68570167811464,0.0,0.09094737470149994,85.9241,-0.339905,-0.011696,6.69998,6.91466,8.6612,11.4891,18.9795,24.804,36.1835,58.0588,64.7344,65.9217,66.9882,43.7157,20.3584,13.335,9.97103,5.85236,4.35147,3.42788,3.3007
160.90425135295476,0.0,0.0847223773598671,86.6132,-0.3388,-0.0173563,6.69501,6.8991,8.61425,11.39,18.6838,24.2938,35.0997,56.8664,63.8077,65.0272,66.1222,47.3278,21.1205,13.6603,10.1517,5.91124,4.38012,3.43913,3.3065
162.01573542735898,0.0,-0.0045722005888819695,87.3056,-0.337079,-0.0228883,6.68715,6.88084,8.56493,11.2896,18.3949,23.8035,34.0846,55.6454,62.8756,64.1272,65.2505,68.7516,21.9417,14.0067,10.3444,5.97572,4.41281,3.45362,3.31547
162.6757833043646,0.0,-0.008897222578525543,88.0064,-0.334918,-0.0271218,6.67705,6.8627,8.52227,11.2069,18.1682,23.4263,33.3245,54.5848,62.0305,63.3045,64.4475,68.0176,22.6406,14.301,10.5098,6.03357,4.44377,3.4692,3.32663
162.6176982329085,0.0,-0.012328225187957287,88.5706,-0.332611,-0.0294489,6.66595,6.84705,8.49187,11.1525,18.0306,23.2042,32.8926,53.8198,61.3274,62.608,63.7574,67.356,23.081,14.4917,10.6203,6.07592,4.46841,3.48365,3.33839
162.33837346640294,0.0,-0.03824455291032791,89.2962,-0.330188,-0.0309297,6.65412,6.83221,8.46654,11.1102,17.9311,23.0482,32.5994,53.1935,60.6865,61.9664,63.1161,66.7248,23.402,14.6359,10.7068,6.11176,4.49056,3.49786,3.35066
161.55093867405378,0.0,-0.04041679948568344,90.0874,-0.327704,-0.0311983,6.64175,6.81902,8.44894,11.0855,17.8856,22.9847,32.4967,52.7647,60.1357,61.4046,62.546,66.1394,23.5325,14.707,10.7553,6.13694,4.5083,3.51112,3.36312
160.26726987527672,0.0,-0.0420316681265831,90.8571,-0.325165,-0.0300978,6.62883,6.80775,8.4401,11.0806,17.9007,23.0247,32.6065,52.5404,59.6842,60.9314,62.0555,65.6061,23.4426,14.6937,10.7599,6.14978,4.52088,3.52321,3.37571
158.59866168464333,0.0,-0.043289948254823685,91.5885,-0.322614,-0.0280551,6.61567,6.79793,8.43747,11.0896,17.9583,23.1378,32.8673,52.4288,59.2954,60.5144,61.6156,65.1063,23.2054,14.6227,10.7342,6.15389,4.52973,3.53437,3.38827
156.66788316713564,0.0,-0.044361662119627,92.3072,-0.320111,-0.0254338,6.60269,6.78933,8.43906,11.1079,18.0438,23.2988,33.2293,52.3602,58.939,60.1267,61.2022,64.6238,22.8846,14.5169,10.6897,6.15218,4.53592,3.54466,3.40054
154.76720083611943,0.0,-0.04535510390996933,93.0222,-0.317737,-0.0224779,6.59035,6.78198,8.4438,11.1325,18.1479,23.4921,33.6606,52.2956,58.5952,59.7506,60.7994,64.1479,22.5214,14.3911,10.6333,6.14629,4.53992,3.55396,3.41218
152.88120269819476,0.0,-0.046325765550136566,93.7355,-0.315546,-0.0193229,6.57896,6.77595,8.45118,11.162,18.2658,23.7092,34.1445,52.2175,58.2536,59.3769,60.3988,63.6729,22.1381,14.2531,10.5691,6.13704,4.54194,3.5621,3.42291
150.8488228215595,0.0,-0.04729652777314186,94.4483,-0.313599,-0.0160319,6.56884,6.77147,8.46118,11.1961,18.3957,23.9471,34.6754,52.1202,57.9095,59.0012,59.9965,63.1962,21.7438,14.106,10.4983,6.12453,4.54185,3.56886,3.43245
148.8241762729848,0.0,-0.048274680972099304,95.1612,-0.311933,-0.0126283,6.56019,6.7687,8.47392,11.2347,18.5375,24.2057,35.2537,52.003,57.5612,58.6218,59.5909,62.7167,21.3423,13.951,10.4213,6.1087,4.5395,3.57408,3.44061
146.80314010571857,0.0,0.04595010355114937,95.8771,-0.310571,-0.00915616,6.55313,6.7677,8.48928,11.2776,18.6899,24.4827,35.875,51.8635,57.2057,58.2362,59.1798,44.2157,20.9395,13.7905,10.3393,6.0898,4.53496,3.57767,3.44729
145.0992553214906,0.0,0.045260049402713776,96.5942,-0.309332,-0.0070039,6.54682,6.76507,8.49634,11.301,18.7802,24.6506,36.2613,51.5731,56.7583,57.7668,58.6917,43.0717,20.7101,13.7011,10.2952,6.08169,4.53477,3.58197,3.45342
144.21991021514947,0.0,0.04284537956118584,97.3139,-0.30799,-0.00706273,6.54011,6.75803,8.48721,11.2885,18.758,24.6201,36.2125,51.0651,56.1704,57.1684,58.085,43.4661,20.7576,13.7309,10.317,6.09404,4.54382,3.58899,3.46014
143.64916215297515,0.0,-0.05608265846967697,98.0375,-0.306543,-0.00851209,6.53295,6.74802,8.46768,11.2531,18.6646,24.4642,35.8892,50.427,55.4953,56.4895,57.4037,60.3908,20.9809,13.8366,10.3808,6.11964,4.55895,3.59793,3.46741
142.98319906545441,0.0,-0.058791384100914,98.7611,-0.305182,-0.00932027,6.52619,6.73958,8.45323,11.2286,18.6049,24.3677,35.696,49.8463,54.8557,55.8426,56.7513,59.7303,21.124,13.9072,10.425,6.13887,4.57105,3.6058,3.47424
141.47216121483083,0.0,-0.06067650392651558,99.384,-0.304169,-0.00785419,6.52104,6.7369,8.45688,11.243,18.6635,24.4779,35.9518,49.4641,54.3474,55.3161,56.2095,59.1479,20.9704,13.8488,10.3971,6.13473,4.57199,3.6096,3.47926
139.6590002813241,0.0,-0.06198299676179886,100.129,-0.303479,-0.00472436,6.51747,6.73885,8.47436,11.2867,18.8116,24.7453,36.5532,49.2105,53.9278,54.8713,55.743,58.6192,20.6079,13.6974,10.3165,6.11305,4.56436,3.61007,3.48264
137.4953904950077,0.0,0.03588908910751343,100.907,-0.303125,-5.00189E-4,6.51563,6.74457,8.50198,11.3515,19.0243,25.1275,37.4159,49.0237,53.5582,54.4727,55.3192,40.5361,20.1228,13.4878,10.2017,6.07917,4.55044,3.60777,3.48438
135.67095303122375,0.0,0.03586382418870926,101.668,-0.302911,0.00263859,6.51458,6.74916,8.52305,11.4008,19.1864,25.4207,38.0859,48.7288,53.1169,54.0081,54.8344,38.8203,19.776,13.3354,10.1174,6.05389,4.53989,3.60586,3.48546
134.48160664622918,0.0,0.03388725221157074,102.416,-0.302594,0.00314552,6.513,6.74844,8.52462,11.4063,19.2088,25.4632,38.1881,48.2226,52.5273,53.406,54.2219,38.6251,19.7291,13.3166,10.1081,6.05229,4.54003,3.60702,3.48705
133.73202610186826,0.0,-0.06948646157979965,103.157,-0.302258,0.00211939,6.51131,6.74483,8.51505,11.3866,19.1493,25.3583,37.9533,47.5998,51.8532,52.725,53.5357,56.246,19.8521,13.3736,10.1413,6.06404,4.54611,3.60973,3.48872
132.75127453973283,0.0,-0.07207442075014114,103.889,-0.302118,0.00187991,6.5106,6.74367,8.51241,11.3814,19.1346,25.3328,37.8908,47.0323,51.2171,52.0789,52.8813,55.5738,19.8828,13.3881,10.1499,6.06732,4.54793,3.61069,3.48942
131.09916820670435,0.0,-0.09669775515794754,104.616,-0.30246,0.00409671,6.51235,6.74949,8.5306,11.4208,19.2576,25.5525,38.1977,46.6333,50.7029,51.5459,52.3321,54.9788,19.629,13.2726,10.0839,6.0453,4.53731,3.6068,3.48773
129.02960793020003,0.0,-0.09724890440702438,105.34,-0.30332,0.00828703,6.51683,6.76173,8.56668,11.4978,19.4979,25.9827,38.6214,46.3546,50.2789,51.097,51.8613,54.442,19.1603,13.0555,9.95838,6.00229,4.51601,3.59841,3.48352
126.6559786672365,0.0,0.019232753664255142,106.066,-0.304779,0.013976,6.52453,6.78009,8.61825,11.6069,19.8383,26.5962,39.053,46.1514,49.9146,50.7042,51.443,34.3932,18.5497,12.766,9.78855,5.94238,4.48557,3.58565,3.47644
124.4932245537084,0.0,0.020485704764723778,106.802,-0.306586,0.0187364,6.53408,6.79871,8.66589,11.7051,20.1413,27.144,39.2365,45.866,49.4921,50.2573,50.9744,32.7687,18.0512,12.5224,9.64239,5.88814,4.45666,3.57207,3.46768
122.95542627317379,0.0,0.02088831551373005,107.542,-0.308459,0.0208619,6.54372,6.81265,8.69444,11.759,20.2961,27.418,39.0783,45.4066,48.9394,49.6884,50.3914,32.0401,17.8091,12.3971,9.5636,5.85516,4.43701,3.56055,3.45846
121.83179068708611,0.0,0.020790988579392433,108.286,-0.310437,0.0212979,6.55367,6.82381,8.71091,11.7845,20.3528,27.5083,38.7318,44.8417,48.3056,49.0434,49.7368,31.8207,17.7191,12.3431,9.52555,5.83494,4.42277,3.54999,3.4486
120.89977591324181,0.0,0.020403143018484116,108.992,-0.312506,0.020736,6.56394,6.83347,8.72037,11.7932,20.3513,27.4887,38.2837,44.2165,47.6244,48.3534,49.0395,31.8897,17.7161,12.3299,9.51073,5.8219,4.41149,3.53982,3.43821
119.92325066536552,0.0,0.01986113376915455,109.726,-0.314624,0.0196726,6.57439,6.84238,8.72633,11.7935,20.3207,27.4145,37.7869,43.5611,46.9184,47.6395,48.3194,32.1067,17.757,12.3371,9.50752,5.81242,4.40167,3.52984,3.42754
119.05282685004549,0.0,-0.09842798858880997,110.486,-0.316773,0.0183073,6.58497,6.85087,8.73019,11.7888,20.273,27.3084,37.2619,42.8874,46.1964,46.9101,47.5841,49.9159,17.8251,12.3568,9.51133,5.80506,4.39271,3.51997,3.41671
117.87309211896618,0.0,-0.09874583780765533,111.227,-0.319141,0.0184848,6.59683,6.86354,8.74724,11.8131,20.3199,27.377,36.8551,42.2939,45.5364,46.239,46.9034,49.2107,17.7472,12.3064,9.47399,5.78353,4.37686,3.50761,3.40488
116.09304098341838,0.0,-0.09862206876277924,111.953,-0.322083,0.0218705,6.61199,6.8856,8.79273,11.8994,20.5683,27.8177,36.6734,41.8611,45.0042,45.6884,46.3365,48.5945,17.3697,12.1108,9.35089,5.73192,4.34608,3.48955,3.3904
114.04917184867516,0.0,0.020976388826966286,112.657,-0.325604,0.0273607,6.6305,6.91511,8.85894,12.0301,20.9625,28.5325,36.6027,41.519,44.5465,45.2087,45.8368,29.4874,16.8158,11.8254,9.17297,5.65985,4.3046,3.46681,3.37324
112.08687473896637,0.46960434,0.021954968571662903,113.106,-0.329492,0.0320786,6.65088,6.94522,8.92236,12.1524,21.3261,29.1932,36.4381,41.1219,44.0468,44.6894,45.2998,28.1579,16.3423,11.5738,9.01261,5.59172,4.26387,3.44299,3.35426
110.59533623841267,0.0,0.022158361971378326,112.044,-0.333411,0.0338323,6.67087,6.9694,8.96274,12.221,21.504,29.4195,36.0638,40.5796,43.4315,44.0607,44.6592,27.5899,16.112,11.4399,8.92092,5.54607,4.23312,3.42147,3.33485
109.41112203920945,0.76470065,0.021993733942508698,111.426,-0.337372,0.0340945,6.69075,6.99066,8.99149,12.2623,21.5852,29.3749,35.5958,39.9738,42.7666,43.3854,43.9749,27.368,15.9964,11.3621,8.86213,5.51119,4.20711,3.40093,3.31507
108.43304403324396,0.0,-0.09864642471075058,109.925,-0.341315,0.0333914,6.71032,7.00977,9.0123,12.2851,21.6022,29.1865,35.0722,39.33,42.072,42.682,43.2641,45.3275,15.9542,11.3206,8.8248,5.48352,4.18438,3.38124,3.29526
107.27841472796065,0.6374061,-0.09889554232358932,108.786,-0.345404,0.0337617,6.73086,7.03193,9.04278,12.3296,21.6927,29.0549,34.6137,38.7425,41.4266,42.0262,42.5992,44.6378,15.8274,11.2367,8.76194,5.44679,4.15719,3.35996,3.27485
105.57857551312208,0.0,-0.09867259114980698,107.321,-0.350122,0.037679,6.7554,7.06507,9.10661,12.4478,22.0335,29.1497,34.3415,38.3076,40.9115,41.4954,42.0541,44.0481,15.4275,11.0141,8.61506,5.37955,4.11464,3.33274,3.2517
103.628776504959,0.8935188,0.007970538921654224,106.507,-0.355273,0.0434556,6.78277,7.10482,9.18957,12.6084,22.5222,29.3025,34.1499,37.9468,40.4629,41.0291,41.5715,24.7319,14.9059,10.7263,8.42737,5.29662,4.06385,3.30203,3.22668
101.72952939571421,0.0,0.008726689033210278,104.911,-0.36087,0.0497852,6.81279,7.14856,9.28152,12.7877,23.0787,29.42,33.9649,37.6004,40.0303,40.5789,41.1051,23.3903,14.3662,10.424,8.22857,5.20777,4.00918,3.26884,3.19961
100.13389096218796,0.9361617,0.009223826229572296,103.546,-0.366443,0.0544909,6.84237,7.18881,9.3605,12.9371,23.5323,29.3872,33.6907,37.1909,39.5485,40.0826,40.5955,22.4216,13.9533,10.1844,8.06685,5.13135,3.96015,3.2371,3.17249
98.70493607897733,0.0,0.009489843621850014,101.907,-0.372083,0.0574921,6.87177,7.22561,9.42566,13.0535,23.858,29.2274,33.3328,36.7186,39.016,39.5382,40.0403,21.7644,13.6534,10.0021,7.93927,5.06632,3.9161,3.20627,3.14478
97.4916254333019,0.9002785,0.009646425023674965,100.439,-0.377759,0.0596282,6.90106,7.26065,9.48377,13.153,24.0323,29.0056,32.9386,36.2224,38.4662,38.978,39.4706,21.2562,13.4088,9.84804,7.82868,5.00699,3.87453,3.17589,3.11675
96.25621215349493,0.0,0.009721136651933193,98.8324,-0.383637,0.061054,6.9311,7.29509,9.5371,13.2399,24.0846,28.7376,32.5162,35.7066,37.9016,38.4039,38.888,20.8545,13.2032,9.71343,7.72929,4.9508,3.83388,3.14497,3.08757
95.24786742170201,0.80519634,0.00973298866301775,97.4743,-0.389563,0.0619237,6.96116,7.32847,9.58587,13.3155,24.0538,28.438,32.0768,35.1812,37.3311,37.8248,38.3012,20.5344,13.0291,9.59509,7.63969,4.89784,3.79458,3.11418,3.05805
94.23420815468877,0.0,0.009708654135465622,95.908,-0.395667,0.0624412,6.99196,7.36194,9.63271,13.3853,23.9694,28.1188,31.6278,34.6506,36.7578,37.2432,37.7124,20.2594,12.8712,9.48453,7.55434,4.84572,3.7552,3.08272,3.02757
93.33715786410067,0.6249101,0.009629000909626484,94.8032,-0.401813,0.0626107,7.02282,7.39478,9.67669,13.448,23.8417,27.7839,31.1723,34.1183,36.1849,36.6626,37.1249,20.0546,12.7313,9.38334,7.47461,4.79542,3.71654,3.05127,2.99681
92.32558691061473,0.0,0.009387803263962269,93.3558,-0.408118,0.0625922,7.0544,7.428,9.72005,13.5081,23.6861,27.4403,30.7145,33.5863,35.6136,36.0837,36.5393,20.0565,12.5981,9.28495,7.39613,4.74499,3.67742,3.01912,2.96522
91.43456467440426,0.5408227,-0.08414975553750992,92.6452,-0.414465,0.062389,7.08611,7.46097,9.76197,13.5644,23.5069,27.0899,30.2562,33.0567,35.0459,35.5087,35.9577,37.6157,12.4735,9.19092,7.32022,4.69529,3.63853,2.98686,2.93338
