,STEERING,ACCELERATION,SPEED,DISTANCE_FROM_CENTER,ANGLE,EDGE1,EDGE2,EDGE3,EDGE4,EDGE5,EDGE6,EDGE7,EDGE8,EDGE9,EDGE10,EDGE11,EDGE12,EDGE13,EDGE14,EDGE15,EDGE16,EDGE17,EDGE18,EDGE19
8853,-0.0001345162,1.2532108161,23.37875,0.00848432,0.0185407997,5.45334,5.6462,6.29815,7.71468,10.9128,15.9587,21.0956,31.4623,62.8023,200,63.4063,31.8835,21.4048,16.203,11.0871,7.84163,6.40354,5.74183,5.54666
8854,0.0007570965,17.7405535509,22.96525,0.00844583,-0.0025508482,5.45355,5.64586,6.29705,7.71214,10.9063,15.9432,21.0674,31.3978,62.5406,200,63.6709,31.9488,21.4334,16.2187,11.0938,7.84422,6.40466,5.74218,5.54645
8855,-0.0032642444,44.6668693731,22.7111944444,0.00844721,-0.0189706326,5.45354,5.64542,6.296,7.70992,10.9008,15.9306,21.0449,31.3468,62.3365,200,63.8803,32.0009,21.4564,16.2315,11.0993,7.84648,6.40572,5.74263,5.54646
8856,-0.0076430718,33.4703024811,22.7991388889,0.00849186,-0.0282323808,5.4533,5.64492,6.29513,7.70833,10.8973,15.9228,21.0312,31.3168,62.2191,200,64.0018,32.0317,21.4703,16.2395,11.1029,7.8481,6.40661,5.74313,5.54671
8857,-0.009279453,17.3223220101,22.9708333333,0.00855229,-0.0359914325,5.45296,5.64437,6.29426,7.70681,10.8941,15.9159,21.0194,31.2909,62.1197,200,64.1054,32.0583,21.4825,16.2465,11.1062,7.84963,6.40749,5.74368,5.54704
8858,-0.0032355207,6.6197562342,23.1626666667,0.00855194,-0.0393518873,5.45297,5.64429,6.29405,7.70637,10.893,15.9134,21.0148,31.2805,62.0784,200,64.1487,32.069,21.4872,16.2491,11.1073,7.85009,6.40771,5.74377,5.54704
8859,0.0005507851,1.5781831091,23.3554722222,0.00851354,-0.0323304614,5.45318,5.64469,6.29474,7.70761,10.8957,15.9193,21.0252,31.3034,62.1672,200,64.0558,32.0455,21.4765,16.243,11.1045,7.84883,6.40701,5.74336,5.54683
8860,-5.0098648705801E-05,0.1182000874,23.5375,0.00848094,-0.0149544849,5.45335,5.64533,6.29604,7.7102,10.9018,15.9331,21.0496,31.3582,62.3841,200,63.8311,31.9892,21.4515,16.2289,11.0983,7.84619,6.40568,5.74271,5.54665
8861,-0.0006371306,-0.0042336198,23.7138611111,0.00845398,0.004088094,5.4535,5.64599,6.29742,7.71297,10.9084,15.9481,21.0763,31.4182,62.623,200,63.5871,31.9281,21.4243,16.2137,11.0916,7.84337,6.40428,5.74205,5.5465
8862,-0.0005024204,-0.529606036,23.8888055556,0.00842545,0.0167375869,5.45366,5.64649,6.29841,7.7149,10.9128,15.9582,21.0943,31.4585,62.7834,200,63.4254,31.8873,21.4061,16.2034,11.0871,7.84142,6.40328,5.74154,5.54634
