,speedX,speedY,speedZ,trackPos,angle,rpm,gear,track0,track1,track2,track3,track4,track5,track6,track7,track8,track9,track10,track11,track12,track13,track14,track15,track16,track17,track18,setAcceleration,setGear,setSteer
3167,60.0933,0.00348816,0.00038591,3.49045e-05,0.000241518,4390.1,2,4.99983,5.17654,5.77411,7.07253,10.0038,14.6282,19.3353,28.8323,57.5254,109.019,57.2126,28.7555,19.3018,14.6098,9.99617,7.06961,5.7729,5.17623,5.00017,0.2,2,0.000285289432874
3168,60.1472,0.00283928,0.000790221,7.78198e-05,0.000230074,4377.17,2,4.99961,5.1763,5.77382,7.07214,10.0032,14.6271,19.3336,28.8292,57.5154,108.659,57.2226,28.7586,19.3034,14.6109,9.99679,7.06999,5.77319,5.17646,5.00039,0.1,2,0.000243397742291
3169,60.1382,0.002314,0.0011212,0.000112915,0.000219643,4359.38,2,4.99944,5.1761,5.77358,7.07182,10.0027,14.6262,19.3322,28.8265,57.5065,108.299,57.2314,28.7613,19.3049,14.6119,9.99733,7.07031,5.77342,5.17666,5.00056,2.77555756156e-17,2,0.000207774274954
3170,60.0669,0.00297318,0.00114621,0.000118256,0.000234902,4336.84,2,4.99941,5.17609,5.7736,7.07189,10.0029,14.6267,19.3332,28.8289,57.5162,107.924,57.2217,28.7589,19.3039,14.6113,9.99712,7.07024,5.7734,5.17667,5.00059,0.0,2,0.000223802454297
3171,59.9891,0.00486488,0.000727778,8.19206e-05,0.000279665,4330.63,2,4.99959,5.17634,5.77396,7.07247,10.004,14.6291,19.3371,28.8372,57.5478,107.533,57.1905,28.7506,19.3,14.609,9.99598,7.06967,5.77304,5.17642,5.00041,0.1,2,0.000303928326785
3172,59.9666,0.00560303,0.000218045,0.000108337,0.000307143,4346.13,2,4.99946,5.17625,5.7739,7.07247,10.0042,14.6298,19.3386,28.841,57.5664,107.153,57.1741,28.7469,19.2985,14.6083,9.99576,7.06966,5.7731,5.17652,5.00054,0.2,2,0.00032209720422
3173,60.0066,0.00468636,-5.44843e-05,0.000134659,0.000305355,4366.42,2,4.99933,5.17611,5.77374,7.07228,10.0039,14.6293,19.338,28.8399,57.5718,106.788,57.1754,28.7479,19.2991,14.6087,9.99606,7.06986,5.77326,5.17665,5.00067,0.1,2,0.000303063542306
3174,59.9978,0.00366669,-0.000153821,0.000129604,0.00029552,4349.19,2,4.99935,5.17612,5.77374,7.07224,10.0038,14.629,19.3373,28.8385,57.5807,106.427,57.174,28.7494,19.2997,14.6091,9.99618,7.0699,5.77327,5.17664,5.00065,0.2,2,0.000293759342397
3175,60.0382,0.00298691,-0.000235138,0.000101089,0.000284195,4368.59,2,4.99949,5.17625,5.77387,7.07236,10.0039,14.629,19.3371,28.8374,57.5966,106.066,57.1669,28.7504,19.3,14.6091,9.99609,7.06977,5.77314,5.17651,5.00051,0.1,2,0.000297493118139
3176,60.0292,0.00260582,-3.18894e-05,4.11034e-05,0.000272512,4351.48,2,4.99979,5.17655,5.77417,7.0727,10.0043,14.6294,19.3374,28.8372,57.622,105.705,57.1527,28.7506,19.2997,14.6087,9.99569,7.06943,5.77283,5.17622,5.00021,0.0,2,0.000320805884405
3177,59.9582,0.00353279,-0.000110068,3.60489e-05,0.000284135,4328.95,2,4.99982,5.17659,5.77424,7.07282,10.0046,14.6299,19.3383,28.8393,57.6692,105.332,57.1222,28.7486,19.2987,14.6081,9.99544,7.06931,5.77276,5.17617,5.00018,0.1,2,0.000338822546021
3178,59.936,0.00442886,-0.000348072,6.23703e-05,0.000299335,4343.89,2,4.99969,5.17647,5.77414,7.07274,10.0046,14.6301,19.3389,28.841,57.726,104.959,57.0865,28.7468,19.2982,14.6079,9.99544,7.06939,5.77287,5.17629,5.00031,0.2,2,0.000341419063965
3179,59.9761,0.00392075,-0.000418572,8.86917e-05,0.000293195,4364.15,2,4.99956,5.17633,5.77397,7.07251,10.0042,14.6295,19.338,28.8393,57.7763,104.597,57.0589,28.7486,19.2991,14.6086,9.99581,7.06962,5.77304,5.17643,5.00044,0.3,2,0.000316844644371
3180,60.0794,0.00321007,-0.000186762,5.23567e-05,0.000281155,4389.01,2,4.99974,5.1765,5.77414,7.07269,10.0043,14.6296,19.3378,28.8383,57.836,104.236,57.0271,28.7495,19.2993,14.6085,9.99566,7.06945,5.77287,5.17626,5.00026,0.2,2,0.000324646421305
3181,60.1333,0.00279808,0.000304897,8.58307e-05,0.000267982,4376.14,2,4.99957,5.17631,5.7739,7.07236,10.0038,14.6285,19.3362,28.8352,57.9003,103.877,56.9947,28.7526,19.3009,14.6095,9.99622,7.06978,5.77311,5.17645,5.00043,0.1,2,0.000286563818599
3182,60.1243,0.00241699,0.000760136,0.000128746,0.000255704,4358.38,2,4.99936,5.17607,5.77361,7.07197,10.0031,14.6274,19.3345,28.832,57.9756,103.517,56.958,28.7559,19.3026,14.6106,9.99686,7.07017,5.77339,5.17669,5.00064,2.77555756156e-17,2,0.000243610246015
3183,60.0531,0.00311737,0.000821679,0.000115585,0.000268996,4335.85,2,4.99942,5.17616,5.77373,7.07215,10.0035,14.6281,19.3357,28.8345,58.0891,103.143,56.9,28.7533,19.3014,14.6099,9.9965,7.06998,5.77327,5.17661,5.00058,0.0,2,0.000268912704132
3184,59.9753,0.00507431,0.00042322,9.48906e-05,0.000311732,4329.65,2,4.99953,5.17632,5.77399,7.0726,10.0045,14.6302,19.3392,28.8421,58.2437,102.755,56.822,28.7458,19.2979,14.6079,9.99555,7.06954,5.77301,5.17644,5.00047,0.1,2,0.000336500347594
3185,59.9528,0.00579529,-0.000129377,0.000121212,0.000337183,4345.13,2,4.99939,5.17622,5.77393,7.0726,10.0046,14.6308,19.3405,28.8455,58.3962,102.377,56.7526,28.7424,19.2966,14.6073,9.99537,7.06954,5.77308,5.17654,5.00061,0.2,2,0.000352148846827
3186,59.9929,0.00487175,-0.000407397,0.000147533,0.000333846,4365.43,2,4.99926,5.17608,5.77376,7.07239,10.0043,14.6303,19.3398,28.8442,58.5395,102.013,56.6954,28.7437,19.2973,14.6078,9.9957,7.06975,5.77324,5.17668,5.00074,0.3,2,0.000331143573067
